Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,0,0,13.8,-13.8,0.201374,1.43639,1.44506,10.3075
1,0,0,13.8,-13.8,0.0249226,0.858723,0.178845,6.1622
2,0,0,13.8,-13.8,0,0.180715,0,1.29681
3,0,0,13.8,-13.8,0.0151223,1.30716,0.108518,9.38014
4,0,0,13.8,-13.8,0.164788,2.46429,1.18252,17.6837
5,0,0,13.8,-13.8,0.0469991,1.40833,0.337266,10.1062
6,0,0,13.8,-13.8,0.0878057,0.661755,0.630094,4.74875
7,0,0,13.8,-13.8,0.0626046,2.17123,0.449251,15.5808
8,0,0,13.8,-13.8,0.0936216,1.2816,0.671829,9.19676
9,0,0,13.8,-13.8,0.624086,0.820789,4.47844,5.88998
10,0,0,13.8,-13.8,0.128603,0.381315,0.922856,2.73632
11,0,0,13.8,-13.8,0.0532052,1.18556,0.3818,8.5076
12,0,0,13.8,-13.8,0.0369835,0.517737,0.265394,3.71528
13,0,0,13.8,-13.8,0.119029,1.71386,0.854151,12.2986
14,0,0,13.8,-13.8,0.0282342,1.26971,0.202608,9.11145
15,0,0,13.8,-13.8,0.127349,1.59604,0.913859,11.4532
16,0,0,13.8,-13.8,0.0915535,1.17249,0.656988,8.41382
17,0,0,13.8,-13.8,0.953679,1.66026,6.8436,11.9141
18,0,0,13.8,-13.8,0.0129729,0.191675,0.0930937,1.37546
19,0,0,13.8,-13.8,0.14111,0.106936,1.0126,0.767373
20,0,0,13.8,-13.8,0.0966678,1.22797,0.693688,8.81192
21,0,0,13.8,-13.8,0.223226,2.69586,1.60187,19.3455
22,0,0,13.8,-13.8,0.253878,2.46518,1.82183,17.6901
23,0,0,13.8,-13.8,0.117217,0.609158,0.841153,4.37132
24,0,0,13.8,-13.8,0.0625512,0.149697,0.448867,1.07423
25,0,0,13.8,-13.8,0.363276,1.32383,2.60687,9.49981
26,0,0,13.8,-13.8,0.254849,1.4152,1.8288,10.1555
27,0,0,13.8,-13.8,0.205021,0.945323,1.47123,6.78364
28,0,0,13.8,-13.8,0.24711,0.116373,1.77326,0.835089
29,0,0,13.8,-13.8,0.146145,2.08793,1.04874,14.983
30,0,0,13.8,-13.8,0.0257969,2.57754,0.185119,18.4964
31,0,0,13.8,-13.8,0.0926684,2.27216,0.664988,16.305
32,0,0,13.8,-13.8,0.393343,3.01665,2.82263,21.6475
33,0,0,13.8,-13.8,0.104797,1.08352,0.752021,7.77536
34,0,0,13.8,-13.8,0.0134492,0.273634,0.0965118,1.96359
35,0,0,13.8,-13.8,0.0597278,1.61107,0.428607,11.5611
36,0,0,13.8,-13.8,0.033244,0.201891,0.238559,1.44877
37,0,0,13.8,-13.8,0.258326,1.48106,1.85375,10.6281
38,0,0,13.8,-13.8,0.234283,1.16019,1.68121,8.32553
39,0,0,13.8,-13.8,0.0555547,1.02062,0.39866,7.32396
40,0,0,13.8,-13.8,0.0258063,1.83174,0.185186,13.1446
41,0,0,13.8,-13.8,0.0698615,0.818184,0.501326,5.87129
42,0,0,13.8,-13.8,0.365838,0.325265,2.62526,2.3341
43,0,0,13.8,-13.8,0.0674752,0.317948,0.484202,2.2816
44,0,0,13.8,-13.8,0.054081,0.379058,0.388086,2.72012
45,0,0,13.8,-13.8,0.145906,0.734628,1.04702,5.27169
46,0,0,13.8,-13.8,0.111335,0.370166,0.798941,2.65631
